aliquot	feature_1	feature_2	disease	center
TCGA-09-2056-01B-01R-1568-13	53.7762993435655	-4.4010077677675	OV	BCCAGSC
TCGA-10-0927-01A-02R-1564-13	47.1390828827853	-0.315367745986292	OV	BCCAGSC
TCGA-10-0928-01A-02R-1564-13	48.9602497200699	0.94892675163241	OV	BCCAGSC
TCGA-10-0931-01A-01R-1564-13	53.8062606709975	-6.671970704224	OV	BCCAGSC
TCGA-10-0933-01A-01R-1569-13	51.9547868134002	-5.08706898531524	OV	BCCAGSC
TCGA-10-0936-01A-01R-1564-13	54.0873678365065	-6.49388099508915	OV	BCCAGSC
TCGA-10-0937-01A-02R-1564-13	47.4997368450671	-0.520124600184423	OV	BCCAGSC
TCGA-10-0938-01A-02R-1564-13	46.7194222977116	-0.279241857090116	OV	BCCAGSC
TCGA-12-0616-01A-01R-1849-01	-22.6311934225841	-38.6898083438014	GBM	BI
TCGA-12-0618-01A-01R-1849-01	-24.7156330817783	-35.2668567352484	GBM	BI
TCGA-12-0619-01A-01R-1849-01	-23.9971661797831	-35.4278946601386	GBM	BI
TCGA-12-0821-01A-01R-1849-01	-22.5642267963714	-36.1749344735422	GBM	BI
TCGA-12-1597-01B-01R-1849-01	-24.6793119735477	-39.4198315572816	GBM	BI
TCGA-12-3650-01A-01R-1849-01	-19.4996829066688	-33.5066278215786	GBM	BI
TCGA-12-3652-01A-01R-1849-01	-22.538975868508	-38.7253762822256	GBM	BI
TCGA-12-3653-01A-01R-1849-01	-19.8454306751325	-34.345734665333	GBM	BI
TCGA-12-5295-01A-01R-1849-01	-23.0727121169564	-39.0398087125549	GBM	BI
TCGA-12-5299-01A-02R-1849-01	-24.0173641575695	-38.2511758657673	GBM	BI
TCGA-13-0714-01A-01R-1564-13	50.4851714664266	-7.13028059504792	OV	BCCAGSC
TCGA-13-0720-01A-01R-1564-13	51.0254498895407	-4.76320939753807	OV	BCCAGSC
TCGA-13-0724-01A-01R-1564-13	51.6938806887882	-5.26553003879815	OV	BCCAGSC
TCGA-13-0725-01A-01R-1564-13	48.7231820822623	-0.74180532123275	OV	BCCAGSC
