feature_1	feature_2	project
TCGA-DK-AA74	4.26780238312123	-7.6219101326504	BLCA
TCGA-DK-AA75	3.89623275542539	-15.2709492212078	BLCA
TCGA-DK-AA76	0.904955056718928	-15.4306985211329	BLCA
TCGA-DK-AA77	1.19429145082929	-16.5458228332186	BLCA
TCGA-E5-A2PC	1.2764466277538	-13.9947634918169	BLCA
TCGA-E5-A4TZ	2.08862854225593	-15.4690521337828	BLCA
TCGA-E5-A4U1	1.04872822337078	-17.2473183422323	BLCA
TCGA-E7-A3X6	1.2835999590424	-13.243641825293	BLCA
TCGA-E7-A3Y1	-0.00125433507768075	-17.1271533584013	BLCA
TCGA-E7-A4IJ	1.62307469912072	-13.9675892942432	BLCA
TCGA-E7-A4XJ	0.000222406338953312	-14.5315634773553	BLCA
TCGA-E7-A519	-2.90694216634574	-15.4425457397938	BLCA
TCGA-E7-A541	4.41122278988424	-10.5171056006668	BLCA
TCGA-E7-A5KE	1.25060627696609	-15.9446193102669	BLCA
TCGA-E7-A5KF	-1.18729685079256	-16.0348498487507	BLCA
TCGA-E7-A677	-1.12846622708003	-13.9583291475843	BLCA
TCGA-E7-A678	-0.162214258159698	-16.7315154014758	BLCA
TCGA-E7-A6MD	0.858479452609431	-11.9715657569959	BLCA
TCGA-E7-A6ME	3.2956656632679	-13.6222075581244	BLCA
TCGA-E7-A6MF	-32.4152430937107	-1.73430174191281	BLCA
TCGA-E7-A7DU	1.00508817177	-17.3366143823815	BLCA
TCGA-E7-A7DV	7.0764505158761	-11.8707176779393	BLCA
TCGA-E7-A7PW	2.75921915654227	-13.4485053233423	BLCA
TCGA-E7-A7XN	10.0574624595075	-11.0754388466118	BLCA
TCGA-E7-A85H	5.6654968225805	-13.5028730686903	BLCA
TCGA-E7-A8O7	-2.09954256372065	-15.2948067301694	BLCA
TCGA-E7-A8O8	0.519981463247155	-14.7713656452078	BLCA
TCGA-E7-A97P	6.2811669655465	-9.49465676722114	BLCA
TCGA-E7-A97Q	2.46615186541577	-15.3749616756869	BLCA
TCGA-FD-A3B3	19.8337286327031	2.50866022920225	BLCA
TCGA-FD-A3B4	23.8346848574818	-13.6433771842167	BLCA
TCGA-FD-A3B5	13.3736803290581	-10.1259675247173	BLCA
TCGA-FD-A3B6	7.49651778212081	-12.2520125675669	BLCA
TCGA-FD-A3B7	19.7762796664485	-1.48522195097514	BLCA
TCGA-FD-A3B8	-2.58834600837273	14.0988713476557	BLCA
TCGA-FD-A3N5	8.88604520112866	-13.7416577790728	BLCA
TCGA-FD-A3N6	25.9126589361814	-1.74912765317429	BLCA
TCGA-FD-A3NA	3.12124707963259	-13.9161233543511	BLCA
TCGA-FD-A3SJ	0.0245393167099699	-11.8364444422919	BLCA
TCGA-FD-A3SL	0.777317755434437	-9.82939953822996	BLCA
TCGA-FD-A3SM	1.36036657541621	-13.3591165996306	BLCA
TCGA-FD-A3SN	5.27384193818255	-11.419115877183	BLCA
TCGA-FD-A3SO	9.20484913976906	-10.3993996260508	BLCA
TCGA-FD-A3SP	5.94529531340605	-9.4093099102618	BLCA
TCGA-FD-A3SQ	0.685695854417009	-9.94809435466431	BLCA
TCGA-FD-A3SR	1.18045142065273	-11.0031058479581	BLCA
TCGA-FD-A3SS	6.23513862502752	-13.8479226758451	BLCA
TCGA-FD-A43N	1.62837559649324	-14.5619228095262	BLCA
TCGA-FD-A43P	5.64668362623814	-13.5246774949594	BLCA
TCGA-FD-A43S	-2.48507792019339	12.466265727082	BLCA
TCGA-FD-A43U	4.64799132090021	-9.67424736625572	BLCA
TCGA-FD-A43X	-0.832288849267218	-16.7405873311334	BLCA
TCGA-FD-A43Y	6.49300348961926	-7.24791025882256	BLCA
TCGA-FD-A5BR	3.27340462246695	-13.1392064740689	BLCA
TCGA-FD-A5BS	-2.39497405361084	-0.625355399972802	BLCA
TCGA-FD-A5BT	-2.37689333564388	-0.624924295802886	BLCA
TCGA-FD-A5BU	6.80025939209713	-8.18902765893311	BLCA
TCGA-FD-A5BV	1.88208800726994	-17.6912557505418	BLCA
TCGA-FD-A5BX	5.71524323998058	-7.78998550730731	BLCA
TCGA-FD-A5BY	16.0410042266191	-17.94805966076	BLCA
TCGA-FD-A5BZ	2.98215885631579	-12.8903825810403	BLCA
TCGA-FD-A5C0	4.82732889591049	-11.1145649035356	BLCA
TCGA-FD-A5C1	9.75199181613463	-11.5827936907439	BLCA
TCGA-FD-A62N	1.75651271662054	-6.43819840083752	BLCA
TCGA-FD-A62O	-0.231276264614029	-14.7706170517381	BLCA
TCGA-FD-A62P	3.18054374336828	-10.168085574699	BLCA
TCGA-FD-A62S	6.02395639097588	-9.64988771853072	BLCA
TCGA-FD-A6TA	1.03489855337627	-12.6658087628041	BLCA
TCGA-FD-A6TB	1.72201172214464	-6.89101324930909	BLCA
TCGA-FD-A6TC	0.721909622358686	-11.6674390101225	BLCA
TCGA-FD-A6TD	6.23693647513083	-10.7345039031781	BLCA
TCGA-FD-A6TE	-1.08597407635303	-13.1547601452606	BLCA
TCGA-FD-A6TF	4.54381489769878	-9.71447121554048	BLCA
TCGA-FD-A6TG	0.827293360926292	-10.8410546681751	BLCA
TCGA-FD-A6TH	6.4224649087381	-14.4184700130346	BLCA
TCGA-FD-A6TI	0.0475383362903921	-11.4644396219791	BLCA
TCGA-FD-A6TK	5.99506038245772	-9.58411360506171	BLCA
TCGA-FJ-A3Z7	4.87372225761558	-15.0434691246335	BLCA
TCGA-FJ-A3Z9	0.566509493666842	-16.8327396380442	BLCA
TCGA-FJ-A3ZE	-1.31066995488488	-15.20592103654	BLCA
TCGA-FJ-A3ZF	2.63734342516391	-15.860737030798	BLCA
TCGA-FJ-A871	-8.26560689877441	10.6387114242391	BLCA
TCGA-FT-A3EE	6.72193659148487	-15.1304210058205	BLCA
TCGA-FT-A61P	4.53154096171695	-10.1086667813521	BLCA
TCGA-G2-A2EC	0.0629091930982622	-10.2027294969731	BLCA
TCGA-G2-A2EF	7.78401319558381	-13.001963264381	BLCA
TCGA-G2-A2EJ	22.4086045025272	-7.92819676886975	BLCA
TCGA-G2-A2EK	0.118527078702482	-11.5002312328197	BLCA
TCGA-G2-A2EL	6.31622627722165	-20.9410856888662	BLCA
TCGA-G2-A2EO	5.03738799263285	-10.6340147877705	BLCA
TCGA-G2-A2ES	21.8290728788792	-9.73237052131399	BLCA
TCGA-G2-A3IB	16.9076515398218	-5.76657535476398	BLCA
TCGA-G2-A3IE	3.01082214555916	-16.5662102297012	BLCA
TCGA-G2-A3VY	2.94526288468888	-16.0775738565493	BLCA
TCGA-G2-AA3B	2.93478006957457	-16.6828652760224	BLCA
TCGA-G2-AA3D	4.24372351469596	-11.8378061237277	BLCA
TCGA-G2-AA3F	2.59959915079218	-15.9699066188062	BLCA
TCGA-GC-A3BM	0.0927298193497805	-16.1691705170124	BLCA
TCGA-GC-A3I6	18.2313253820976	-17.8954529871956	BLCA
TCGA-GC-A3OO	0.996991315730239	-9.17241348557918	BLCA
TCGA-GC-A3RB	3.41670999915553	-16.2386373192689	BLCA
TCGA-GC-A3RC	9.18019986472275	-14.0913910560466	BLCA
TCGA-GC-A3RD	2.8621723442851	-16.0236010508565	BLCA
TCGA-GC-A3WC	9.99313303168376	-3.15218042107687	BLCA
TCGA-GC-A3YS	6.00653214940564	-10.3242592979575	BLCA
TCGA-GC-A4ZW	3.21148847728515	-10.8139116190919	BLCA
TCGA-GC-A6I1	10.4634729718203	-12.5347229420596	BLCA
TCGA-GC-A6I3	4.04372625531461	-10.6215422132936	BLCA
TCGA-GD-A2C5	0.329564461244509	-11.4313774336364	BLCA
TCGA-GD-A3OP	-0.0362900938241771	-10.011243874281	BLCA
TCGA-GD-A3OQ	6.7465262114686	-15.1038457027029	BLCA
TCGA-GD-A3OS	10.9917618398313	1.65711155509906	BLCA
TCGA-GD-A6C6	2.17011300622018	-14.3029929766247	BLCA
TCGA-GD-A76B	0.254842676498205	-11.3922720714637	BLCA
TCGA-GU-A42P	1.85874361667345	-14.9153480839631	BLCA
TCGA-GU-A42Q	10.7007272047797	-3.22025750858329	BLCA
TCGA-GU-A42R	0.802190294778386	-9.84527106635998	BLCA
TCGA-GU-A762	9.71110225330465	-13.2661956854339	BLCA
TCGA-GU-A763	-0.886738636081282	-17.0530959759941	BLCA
TCGA-GU-A764	5.64610512710292	-9.49502250098093	BLCA
TCGA-GU-A766	6.70824762014674	-8.92627710479036	BLCA
TCGA-GU-A767	2.8309474340627	-10.5533487915192	BLCA
TCGA-GU-AATO	3.29230616934906	-9.5652633153714	BLCA
TCGA-GU-AATP	4.28630957253885	-13.3926115317459	BLCA
TCGA-GU-AATQ	5.80568726575535	-19.0605222123175	BLCA
TCGA-GV-A3JV	-1.29274285943284	-13.8075103860177	BLCA
TCGA-GV-A3JW	3.25192813000417	-16.5310363914871	BLCA
TCGA-GV-A3JX	5.79932142318722	-15.5278805844776	BLCA
TCGA-GV-A3JZ	-0.343040516743751	-11.8369301263051	BLCA
TCGA-GV-A3QF	3.01692511787295	-16.7287672627457	BLCA
TCGA-GV-A3QG	13.5934828828525	5.36749093022059	BLCA
TCGA-GV-A3QH	3.33565704666549	-16.17406699315	BLCA
TCGA-GV-A3QI	-1.70824831849394	-12.4918441684347	BLCA
TCGA-GV-A3QK	-1.09581276544728	-13.7705839520809	BLCA
TCGA-GV-A40E	6.72414483017654	-12.4020909002641	BLCA
TCGA-GV-A40G	-0.415825869824332	-13.134538109029	BLCA
TCGA-GV-A6ZA	1.96153843240397	-16.4244653880679	BLCA
TCGA-H4-A2HO	3.50816752457675	-13.7967096507631	BLCA
TCGA-H4-A2HQ	2.03522300705246	-15.2459541133144	BLCA
TCGA-HQ-A2OE	3.5849890733085	-16.4078533530983	BLCA
TCGA-HQ-A2OF	41.8055484279273	-11.0191135830984	BLCA
TCGA-HQ-A5ND	6.82787073396039	-12.9838831407403	BLCA
TCGA-HQ-A5NE	6.71748293389245	-12.6259729851693	BLCA
TCGA-K4-A3WS	0.984482898319329	-9.56623286722915	BLCA
TCGA-K4-A3WU	0.779521527745396	-8.17340504845476	BLCA
TCGA-K4-A3WV	11.1281331878026	-7.07347155914308	BLCA
TCGA-K4-A4AB	1.45223494392876	-13.3676601554206	BLCA
TCGA-K4-A4AC	7.88575766606272	-10.3084743044781	BLCA
