aliquot	feature_1	feature_2	project
TCGA-2J-AAB1-01A-11D-A40Y-05	-15.3328641233806	14.7881993954539	PAAD
TCGA-2J-AAB4-01A-12D-A40Y-05	-11.2208417479669	12.6078479987078	PAAD
TCGA-2J-AAB6-01A-11D-A40Y-05	-20.683496916943	9.53474129855708	PAAD
TCGA-2J-AAB8-01A-12D-A40Y-05	-11.4294007085593	12.3689252628722	PAAD
TCGA-2J-AAB9-01A-11D-A40Y-05	-7.42055938886669	17.5178743093379	PAAD
TCGA-2J-AABA-01A-21D-A40Y-05	-13.7128667999512	11.6476026549483	PAAD
TCGA-2J-AABE-01A-12D-A40Y-05	-12.6568007535877	13.3098876190654	PAAD
TCGA-2J-AABF-01A-31D-A40Y-05	-12.2017044488095	12.7638377058735	PAAD
TCGA-2J-AABH-01A-21D-A40Y-05	-13.2598575234711	14.5020028897937	PAAD
TCGA-2J-AABI-01A-12D-A40Y-05	-14.5976216879125	17.5412790683273	PAAD
TCGA-2J-AABK-01A-31D-A40Y-05	-11.9057514833417	14.126383585557	PAAD
TCGA-2J-AABO-01A-21D-A40Y-05	-14.4301372382239	13.7806659896071	PAAD
TCGA-2J-AABP-01A-11D-A40Y-05	6.26013264787007	11.3695740336924	PAAD
TCGA-2J-AABR-01A-11D-A40Y-05	-7.00414206310378	17.3193393830996	PAAD
TCGA-2J-AABT-01A-11D-A40Y-05	-6.82585482425546	16.8920268209419	PAAD
TCGA-2J-AABU-01A-11D-A40Y-05	-14.0678847000152	12.4454269315109	PAAD
TCGA-2J-AABV-01A-12D-A40Y-05	-9.38322658969396	13.9750093306782	PAAD
TCGA-2K-A9WE-01A-11D-A383-05	-22.3683327830302	34.6363441106693	KIRP
TCGA-2L-AAQA-01A-21D-A38H-05	-15.639048859476	15.6981980599719	PAAD
TCGA-2L-AAQE-01A-11D-A398-05	-14.4517940815957	13.3349540506388	PAAD
TCGA-2L-AAQI-01A-12D-A398-05	-12.1724057723297	13.9686025330775	PAAD
TCGA-2L-AAQJ-01A-12D-A398-05	-13.724311131751	16.8548303087887	PAAD
TCGA-2L-AAQL-01A-11D-A38H-05	-13.0414126830116	14.3231667041189	PAAD
TCGA-2L-AAQM-01A-11D-A398-05	5.28582771337807	45.5969794262484	PAAD
TCGA-2V-A95S-01A-11D-A36Y-05	-1.85689506737302	30.4627493179185	LIHC
TCGA-2W-A8YY-01A-11D-A37Q-05	17.4124860921321	-37.3594213689247	CESC
TCGA-2X-A9D5-01A-11D-A436-05	21.599786598456	11.838507224292	TGCT
TCGA-2X-A9D6-01A-11D-A436-05	20.394136962033	12.6450699489563	TGCT
TCGA-2Y-A9GS-01A-12D-A383-05	0.256459996320413	38.1168752875429	LIHC
TCGA-2Y-A9GT-01A-11D-A383-05	-2.4014134859006	33.6707165823107	LIHC
TCGA-2Y-A9GU-01A-11D-A383-05	-7.72338015146064	29.2208186018257	LIHC
TCGA-2Y-A9GV-01A-11D-A383-05	-1.46201814193303	33.1692239954503	LIHC
TCGA-2Y-A9GW-01A-11D-A383-05	-2.43065968720076	31.2203029223807	LIHC
TCGA-2Y-A9GX-01A-11D-A383-05	-1.36135512653256	28.8305705942856	LIHC
TCGA-2Y-A9GY-01A-11D-A383-05	1.62075190597162	37.4748579486443	LIHC
TCGA-2Y-A9GZ-01A-11D-A39G-05	0.564670716547241	41.023369376114	LIHC
TCGA-2Y-A9H0-01A-11D-A383-05	0.462322532082076	39.1542363033863	LIHC
TCGA-2Y-A9H1-01A-11D-A383-05	-2.79622549456021	35.65736036798	LIHC
TCGA-2Y-A9H2-01A-12D-A383-05	-10.3722008835379	26.3648206371716	LIHC
TCGA-2Y-A9H3-01A-11D-A383-05	-4.70893694148861	27.8858663785046	LIHC
TCGA-2Y-A9H4-01A-11D-A383-05	-3.66091093194732	36.9357440096521	LIHC
TCGA-2Y-A9H5-01A-11D-A383-05	-6.93972005114636	30.9372356511805	LIHC
TCGA-2Y-A9H6-01A-11D-A39G-05	-8.29532997127141	27.2473832809718	LIHC
TCGA-2Y-A9H7-01A-11D-A39G-05	-6.87246237813267	33.6824271556514	LIHC
TCGA-2Y-A9H8-01A-11D-A39G-05	-6.75224933013525	30.6031231004481	LIHC
TCGA-2Y-A9H9-01A-21D-A39G-05	-2.5103525167495	39.9165940081392	LIHC
TCGA-2Y-A9HA-01A-11D-A39G-05	1.00511629956153	40.0901910458562	LIHC
TCGA-2Y-A9HB-01A-11D-A39G-05	-3.70919326246572	34.217850679997	LIHC
TCGA-2Z-A9J1-01A-11D-A383-05	-24.8892497624232	22.4432378332232	KIRP
TCGA-2Z-A9J2-01A-11D-A383-05	-23.3364977840848	39.2407582839929	KIRP
TCGA-2Z-A9J3-01A-12D-A383-05	-15.2553361484449	43.5891953850301	KIRP
TCGA-2Z-A9J5-01A-21D-A383-05	-19.8982786298496	37.880447777187	KIRP
TCGA-2Z-A9J6-01A-11D-A383-05	-19.0141763220769	40.8722542373791	KIRP
TCGA-2Z-A9J7-01A-11D-A383-05	-15.0722271916681	43.3036121107261	KIRP
TCGA-2Z-A9J8-01A-11D-A42K-05	-17.8041355260266	45.2012726068965	KIRP
