feature_1	feature_2	feature_3	project
TCGA-E7-A7XN	-16.1525204628467	-7.22043306889248	1.15436395340039	BLCA
TCGA-E7-A85H	-20.1908042812218	-3.52034728436788	-3.00309458546406	BLCA
TCGA-E7-A8O7	-23.6177761445123	4.26024739442948	-8.53623663349133	BLCA
TCGA-E7-A8O8	-22.5663396098639	0.730954600040559	-8.4145439067198	BLCA
TCGA-E7-A97P	-15.5024937094139	-3.77153793250918	-2.07755875288173	BLCA
TCGA-E7-A97Q	-22.438654718626	-0.582790082654331	-4.94816569015071	BLCA
TCGA-FD-A3B3	1.30503066421512	-8.62185860090542	0.799539687121134	BLCA
TCGA-FD-A3B4	-18.4854768737063	-19.6807944948852	3.12121618700482	BLCA
TCGA-FD-A3B5	-11.7735903149434	-10.4199779685498	-5.82039017664668	BLCA
TCGA-FD-A3B6	-17.3651676335629	-5.19499833449586	-3.21137700148812	BLCA
TCGA-FD-A3B7	-8.09861848353409	-16.5757526569678	-1.12501429480079	BLCA
TCGA-FD-A3B8	4.38255953925267	12.0693844058862	-0.354265074511088	BLCA
TCGA-FD-A3N5	-16.1395102673338	-7.39592834219858	-4.76850833376751	BLCA
TCGA-FD-A3N6	-12.2168406872586	-20.7901030895978	-6.14218257010469	BLCA
TCGA-FD-A3NA	-19.7219416457129	-1.65320360130355	-6.1306542149914	BLCA
TCGA-FD-A3SJ	-18.2500977714184	0.561898355277019	-7.84394955187986	BLCA
TCGA-FD-A3SL	-16.6698096708504	2.23507696820387	-5.48481699569324	BLCA
TCGA-FD-A3SM	-19.9893396635866	-0.173837971663783	-7.52639249394766	BLCA
TCGA-FD-A3SN	-17.4901948184854	-1.86397462342734	-2.20442467650022	BLCA
TCGA-FD-A3SO	-17.0350615297591	-10.4789797666255	2.10836055936653	BLCA
TCGA-FD-A3SP	-15.1162810981278	-3.2229396945756	-3.18990421483962	BLCA
TCGA-FD-A3SQ	-16.8085909252286	2.39466575193924	-5.61758308893685	BLCA
TCGA-FD-A3SR	-18.094338515324	1.71643978528272	-5.25197561334701	BLCA
TCGA-FD-A3SS	-20.1251205014721	-4.2320335826962	-3.88002476805537	BLCA
TCGA-FD-A43N	-21.3293077011536	-0.581615250459261	-7.68959241636696	BLCA
TCGA-FD-A43P	-20.057681887766	-3.45312442334105	-3.42500252018133	BLCA
TCGA-FD-A43S	0.37871220975326	11.2138071575025	0.337508641371632	BLCA
TCGA-FD-A43U	-17.2753003841251	-0.935179783791657	-3.79498333925498	BLCA
TCGA-FD-A43X	-24.0781425457417	1.65663960925945	-8.21855540566141	BLCA
TCGA-FD-A43Y	-12.5710180642404	-5.32447860811404	-0.18675303618913	BLCA
TCGA-FD-A5BR	-20.5653095584397	-0.49308656192039	-4.02948966063925	BLCA
TCGA-FD-A5BS	3.62300669221687	1.70498535982726	-4.35089789878592	BLCA
TCGA-FD-A5BT	3.63291346026163	1.70810445249214	-4.38138390728402	BLCA
TCGA-FD-A5BU	-13.4396926558691	-5.63354432247538	-1.01075257662281	BLCA
TCGA-FD-A5BV	-24.6478167952762	0.926456856199724	-4.05117488828225	BLCA
TCGA-FD-A5BX	-13.479548367506	-3.45362470416497	-0.915284926096482	BLCA
TCGA-FD-A5BY	-24.7267430296272	-13.5126394549906	3.08574170658534	BLCA
TCGA-FD-A5BZ	-20.9016817190898	0.432927905756962	-3.293625797781	BLCA
TCGA-FD-A5C0	-17.3771040306059	-1.37402033668151	-2.10454397011945	BLCA
TCGA-FD-A5C1	-17.0391288821676	-7.0876204825471	0.673909603001489	BLCA
TCGA-FD-A62N	-12.325168204342	1.71572272621493	-5.45397309344549	BLCA
TCGA-FD-A62O	-22.6531041050567	2.70709712637014	-6.07884876074668	BLCA
